walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
8,4,15,14,13,0.5892596244812012,559208
8,4,15,14,13,0.5633194446563721,559232
8,4,15,14,13,0.8013155460357666,559424
8,4,15,14,13,0.547884464263916,559436
8,4,15,14,13,0.5736186504364014,560444
10,4,15,12,12,1.0956764221191406,559456
10,4,15,12,12,0.9380650520324707,559124
10,4,15,12,12,0.9413254261016846,558816
10,4,15,12,12,0.9509801864624023,559532
10,4,15,12,12,1.0882627964019775,559308
12,4,15,8,7,0.6310336589813232,559692
12,4,15,8,7,0.6051356792449951,559876
12,4,15,8,7,0.634052038192749,560364
12,4,15,8,7,0.620293378829956,560036
12,4,15,8,7,0.6453399658203125,560032
14,4,15,13,13,10.217152833938599,558804
14,4,15,13,13,10.627095460891724,558868
14,4,15,13,13,10.017980813980103,558856
14,4,15,13,13,10.62230396270752,558880
14,4,15,13,13,9.086784362792969,559624
16,4,15,7,6,0.5079858303070068,559136
16,4,15,7,6,0.5344288349151611,559852
16,4,15,7,6,0.5149359703063965,559296
16,4,15,7,6,0.5614030361175537,559076
16,4,15,7,6,0.4813346862792969,559056
18,4,15,10,9,0.536175012588501,559028
18,4,15,10,9,0.5731823444366455,559148
18,4,15,10,9,0.5775322914123535,558404
18,4,15,10,9,0.5059034824371338,558460
18,4,15,10,9,0.5260226726531982,558976
2,4,25,6,5,0.27446699142456055,560964
2,4,25,6,5,0.3245401382446289,560540
2,4,25,6,5,0.31348705291748047,560544
2,4,25,6,5,0.3231034278869629,560264
2,4,25,6,5,0.3010847568511963,559968
4,4,25,8,7,0.3301403522491455,560608
4,4,25,8,7,0.29468441009521484,560220
4,4,25,8,7,0.304868221282959,559760
4,4,25,8,7,0.3118734359741211,560384
4,4,25,8,7,0.305894136428833,561196
6,4,25,8,7,0.3004906177520752,560092
6,4,25,8,7,0.3006758689880371,560408
6,4,25,8,7,0.30104923248291016,560340
6,4,25,8,7,0.30417442321777344,560748
6,4,25,8,7,0.322437047958374,560388
8,4,25,14,13,0.4226229190826416,560164
8,4,25,14,13,0.4055612087249756,561536
8,4,25,14,13,0.3964264392852783,560916
8,4,25,14,13,0.3899064064025879,561556
8,4,25,14,13,0.4008214473724365,561384
10,4,25,12,12,0.8258492946624756,561156
10,4,25,12,12,0.739424467086792,560416
10,4,25,12,12,0.8973853588104248,560264
10,4,25,12,12,0.798619270324707,560672
10,4,25,12,12,0.9602882862091064,560708
12,4,25,8,7,0.4005138874053955,560528
12,4,25,8,7,0.37221455574035645,559652
12,4,25,8,7,0.39701223373413086,560236
12,4,25,8,7,0.3948936462402344,559580
12,4,25,8,7,0.3989858627319336,559536
14,4,25,13,13,7.795948028564453,560344
14,4,25,13,13,8.200867176055908,560408
14,4,25,13,13,8.454201221466064,560176
14,4,25,13,13,8.36981987953186,559400
14,4,25,13,13,7.433152437210083,559240
16,4,25,7,6,0.32331061363220215,561124
16,4,25,7,6,0.32314205169677734,558964
16,4,25,7,6,0.34639430046081543,559772
16,4,25,7,6,0.37371039390563965,559260
16,4,25,7,6,0.31450891494750977,559044
18,4,25,10,9,0.5093538761138916,557164
18,4,25,10,9,0.507368803024292,557832
18,4,25,10,9,0.49454832077026367,557700
18,4,25,10,9,0.47974586486816406,557072
18,4,25,10,9,0.5881781578063965,557584
2,8,5,6,5,0.44102978706359863,558576
2,8,5,6,5,0.3932797908782959,559008
2,8,5,6,5,0.47277092933654785,558736
2,8,5,6,5,0.41676950454711914,560000
2,8,5,6,5,0.4715549945831299,559156
4,8,5,8,7,0.46325159072875977,558296
4,8,5,8,7,0.42623019218444824,558576
4,8,5,8,7,0.47333788871765137,559756
4,8,5,8,7,0.4452016353607178,558300
4,8,5,8,7,0.4353067874908447,559404
6,8,5,8,7,0.4915657043457031,559120
6,8,5,8,7,0.4984395503997803,558220
6,8,5,8,7,0.47746729850769043,560004
6,8,5,8,7,0.4361133575439453,558544
6,8,5,8,7,0.44594693183898926,559068
8,8,5,14,13,0.48553013801574707,559564
8,8,5,14,13,0.4833207130432129,559264
8,8,5,14,13,0.5256369113922119,559296
8,8,5,14,13,0.5481810569763184,557996
8,8,5,14,13,0.4679582118988037,558304
10,8,5,12,12,0.8433537483215332,559120
10,8,5,12,12,0.821352481842041,559148
10,8,5,12,12,0.9347913265228271,558220
10,8,5,12,12,0.9113764762878418,558836
10,8,5,12,12,0.8658373355865479,558624
12,8,5,8,7,0.7484130859375,558360
12,8,5,8,7,0.7498650550842285,558308
12,8,5,8,7,0.7324786186218262,557864
12,8,5,8,7,0.7582826614379883,558628
12,8,5,8,7,0.7302117347717285,558628
14,8,5,13,13,7.112097978591919,558896
14,8,5,13,13,7.467819690704346,558984
14,8,5,13,13,8.2294762134552,558140
14,8,5,13,13,7.211457252502441,557844
14,8,5,13,13,7.643587589263916,558416
16,8,5,7,6,0.6195712089538574,558556
16,8,5,7,6,0.7037649154663086,558404
16,8,5,7,6,0.7098746299743652,558132
16,8,5,7,6,0.6118547916412354,558512
16,8,5,7,6,0.599733829498291,559344
18,8,5,10,9,0.5719485282897949,558300
18,8,5,10,9,0.6220264434814453,557780
18,8,5,10,9,0.5661938190460205,558324
18,8,5,10,9,0.5910241603851318,557440
18,8,5,10,9,0.5401277542114258,558168
2,8,15,6,5,0.2793998718261719,561008
2,8,15,6,5,0.30748558044433594,559916
2,8,15,6,5,0.29222559928894043,560200
2,8,15,6,5,0.26056790351867676,560380
2,8,15,6,5,0.26490068435668945,560500
4,8,15,8,7,0.3472278118133545,560172
4,8,15,8,7,0.29656481742858887,560308
4,8,15,8,7,0.26538753509521484,560464
4,8,15,8,7,0.2670135498046875,559912
4,8,15,8,7,0.2715468406677246,559984
6,8,15,8,7,0.2673959732055664,560172
6,8,15,8,7,0.25116562843322754,560092
6,8,15,8,7,0.24977731704711914,560796
6,8,15,8,7,0.27415895462036133,560260
6,8,15,8,7,0.26591062545776367,560276
8,8,15,14,13,0.3278467655181885,560120
8,8,15,14,13,0.34766554832458496,560436
8,8,15,14,13,0.42993927001953125,560544
8,8,15,14,13,0.30072975158691406,559724
8,8,15,14,13,0.350874662399292,560572
10,8,15,12,12,0.5988571643829346,560192
10,8,15,12,12,0.603147029876709,560536
10,8,15,12,12,0.602616548538208,559916
10,8,15,12,12,0.6139593124389648,560304
10,8,15,12,12,0.6192145347595215,559740
12,8,15,8,7,0.3601548671722412,558364
12,8,15,8,7,0.33182764053344727,559464
12,8,15,8,7,0.3582801818847656,560084
12,8,15,8,7,0.352022647857666,558796
12,8,15,8,7,0.3524627685546875,560396
14,8,15,13,13,6.183987379074097,558416
14,8,15,13,13,6.565300464630127,558652
14,8,15,13,13,6.165936231613159,558740
14,8,15,13,13,6.605594635009766,559064
14,8,15,13,13,6.623757362365723,558692
16,8,15,7,6,0.2952725887298584,560004
16,8,15,7,6,0.3398435115814209,559008
16,8,15,7,6,0.32826995849609375,559784
16,8,15,7,6,0.29535913467407227,560080
16,8,15,7,6,0.3665010929107666,560040
18,8,15,10,9,0.3646972179412842,557748
18,8,15,10,9,0.3416452407836914,559100
18,8,15,10,9,0.4143524169921875,557752
18,8,15,10,9,0.38336992263793945,558000
18,8,15,10,9,0.3545048236846924,558144
2,8,25,6,5,0.25252318382263184,558852
2,8,25,6,5,0.26843714714050293,559768
2,8,25,6,5,0.250687837600708,559628
2,8,25,6,5,0.2433490753173828,559264
2,8,25,6,5,0.2571742534637451,558420
4,8,25,8,7,0.2561016082763672,558736
4,8,25,8,7,0.28234314918518066,558948
4,8,25,8,7,0.27147936820983887,558632
4,8,25,8,7,0.2653543949127197,559192
4,8,25,8,7,0.2638111114501953,558248
6,8,25,8,7,0.2586357593536377,559632
6,8,25,8,7,0.2729370594024658,558752
6,8,25,8,7,0.34183335304260254,558596
6,8,25,8,7,0.267164945602417,558900
6,8,25,8,7,0.30861616134643555,558980
8,8,25,14,13,0.38956785202026367,559236
8,8,25,14,13,0.37423133850097656,559156
8,8,25,14,13,0.40705275535583496,559404
8,8,25,14,13,0.37088656425476074,558624
8,8,25,14,13,0.3812682628631592,558664
10,8,25,12,12,0.8369414806365967,559608
10,8,25,12,12,0.828721284866333,559404
10,8,25,12,12,0.7349939346313477,559768
10,8,25,12,12,0.794975996017456,558968
10,8,25,12,12,0.8390359878540039,559440
12,8,25,8,7,0.35784387588500977,558968
12,8,25,8,7,0.3818657398223877,558568
12,8,25,8,7,0.3858063220977783,558420
12,8,25,8,7,0.3658590316772461,558540
12,8,25,8,7,0.38894152641296387,558816
14,8,25,13,13,8.531099319458008,558456
14,8,25,13,13,7.943448066711426,558320
14,8,25,13,13,7.905421257019043,559488
14,8,25,13,13,7.643182754516602,559064
14,8,25,13,13,8.423092365264893,559088
16,8,25,7,6,0.3057436943054199,559244
16,8,25,7,6,0.30920982360839844,558832
16,8,25,7,6,0.28826141357421875,559276
16,8,25,7,6,0.30448102951049805,559048
16,8,25,7,6,0.2967381477355957,559380
18,8,25,10,9,0.49292683601379395,557456
18,8,25,10,9,0.4987497329711914,558088
18,8,25,10,9,0.47618913650512695,558124
18,8,25,10,9,0.42804694175720215,557484
18,8,25,10,9,0.47075557708740234,557468
